id;comment_info;date;score;user_id;recipe_id
1;Investment Account;2019-12-01T07:01:06;75555;1;1
2;Brand;2019-12-01T05:36:06;28975;2;2
3;JSON;2019-12-01T04:59:24;80812;1;3
4;Refined Squares;2019-12-01T14:43:55;18657;1;4
5;EXE projection Fresh;2019-12-01T11:25:24;31800;2;5
6;contextually-based;2019-12-01T04:25:48;42710;1;6
7;cutting-edge ability Hat;2019-12-01T07:09:23;41741;1;7
8;Bahamian Dollar;2019-12-01T13:30:31;33761;1;8
9;Gloves sky blue Oklahoma;2019-12-01T10:16:57;36362;1;9
10;Versatile Exclusive Moroccan Dirham;2019-12-01T02:52:48;30087;1;10
